data_seed,regime,model,pr_auc_mean_3seed,pr_auc_std_3seed,delta_vs_clean,delta_leaked_vs_suspect
43,Clean (physics-only),Logistic Regression,0.7443771833197953,0.0005068023803857342,,
43,Clean (physics-only),Random Forest,0.7362792549464894,0.0013622954057014804,,
43,Leaked (leakage-inclusive),Logistic Regression,0.9999822045412996,7.813569759984952e-07,0.2556050212215043,0.13073371232031672
43,Leaked (leakage-inclusive),Random Forest,0.9999738914675795,2.027634732567497e-06,0.26369463652109015,0.13983392165922914
43,Suspect-added,Logistic Regression,0.8692484922209829,0.0007674101585535567,0.12487130890118758,
43,Suspect-added,Random Forest,0.8601399698083504,0.0017582655550919264,0.12386071486186101,
44,Clean (physics-only),Logistic Regression,0.7248953686001812,0.0003568926925193552,,
44,Clean (physics-only),Random Forest,0.7146468479057436,0.0016390853392588517,,
44,Leaked (leakage-inclusive),Logistic Regression,0.9999916770719341,3.740934135383305e-06,0.2750963084717529,0.14080838982038768
44,Leaked (leakage-inclusive),Random Forest,0.999988012528643,6.449713401995286e-06,0.2853411646228994,0.15619351102929135
44,Suspect-added,Logistic Regression,0.8591832872515465,0.0005847779370653084,0.13428791865136525,
44,Suspect-added,Random Forest,0.8437945014993516,0.0007390847645880906,0.12914765359360802,
45,Clean (physics-only),Logistic Regression,0.7297650783935824,0.00018142258195950146,,
45,Clean (physics-only),Random Forest,0.7159592454678881,0.0008731544229066752,,
45,Leaked (leakage-inclusive),Logistic Regression,0.9999855307438258,5.705543646112312e-07,0.2702204523502434,0.13912856553083042
45,Leaked (leakage-inclusive),Random Forest,0.9999893792458132,1.158195540376011e-06,0.2840301337779251,0.1479296235090115
45,Suspect-added,Logistic Regression,0.8608569652129954,5.4128105194022724e-05,0.13109188681941297,
45,Suspect-added,Random Forest,0.8520597557368017,0.0009753078411546628,0.13610051026891357,
